,RISK_SCORE,SIGNAL,ACTION,REGIME
2022-01-31,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2022-02-28,4.36,🟡 흐림,위험자산 10~20% 축소,과열
2022-03-31,3.78,🟡 흐림,위험자산 10~20% 축소,과열
2022-04-30,4.67,🟡 흐림,위험자산 10~20% 축소,과열
2022-05-31,2.92,🟢 맑음,기본 비중 유지,과열
2022-06-30,2.92,🟢 맑음,기본 비중 유지,과열
2022-07-31,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2022-08-31,3.18,🟡 흐림,위험자산 10~20% 축소,과열
2022-09-30,3.01,🟡 흐림,위험자산 10~20% 축소,골디락스
2022-10-31,3.18,🟡 흐림,위험자산 10~20% 축소,과열
2022-11-30,3.75,🟡 흐림,위험자산 10~20% 축소,과열
2022-12-31,3.75,🟡 흐림,위험자산 10~20% 축소,과열
2023-01-31,2.1,🟢 맑음,기본 비중 유지,골디락스
2023-02-28,3.75,🟡 흐림,위험자산 10~20% 축소,과열
2023-03-31,3.74,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2023-04-30,2.68,🟢 맑음,기본 비중 유지,골디락스
2023-05-31,4.91,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2023-06-30,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2023-07-31,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2023-08-31,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2023-09-30,1.54,🟢 맑음,기본 비중 유지,골디락스
2023-10-31,2.34,🟢 맑음,기본 비중 유지,과열
2023-11-30,2.43,🟢 맑음,기본 비중 유지,골디락스
2023-12-31,1.54,🟢 맑음,기본 비중 유지,골디락스
2024-01-31,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2024-02-29,3.19,🟡 흐림,위험자산 10~20% 축소,과열
2024-03-31,3.19,🟡 흐림,위험자산 10~20% 축소,과열
2024-04-30,2.61,🟢 맑음,기본 비중 유지,과열
2024-05-31,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2024-06-30,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2024-07-31,3.49,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2024-08-31,4.08,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2024-09-30,3.51,🟡 흐림,위험자산 10~20% 축소,둔화_주의
2024-10-31,3.79,🟡 흐림,위험자산 10~20% 축소,과열
2024-11-30,2.62,🟢 맑음,기본 비중 유지,과열
2024-12-31,2.62,🟢 맑음,기본 비중 유지,과열
