,YIELD_SPREAD,CPI,HY_SPREAD,VIX,SKEW,VIX3M,VIX_BKWD,T5YIE,ICSA,T5YIE_ZONE,ICSA_ZONE,REGIME,REGIME_SCORE,IG_SPREAD,IG_SCORE,STLFSI,FSI_SCORE,SAHM,SAHM_SCORE,LAGGING_TOTAL,RISK_SCORE,SIGNAL,ACTION,LEADING_SCORE,COINCIDENT_SCORE,LAGGING_SCORE,S_YIELD,S_CPI,S_REGIME,S_VIX,S_SKEW,S_BKWD,S_HY,S_IG,S_FSI,S_SAHM
2022-01-03,0.85,5.957820738137087,4.62,16.600000381469727,151.49000549316406,21.530000686645508,-4.930000305175781,2.95,22.9,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.6984,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,0,2,0,0,1,0,0
2022-01-04,0.89,5.957820738137087,4.62,16.90999984741211,150.36000061035156,21.6200008392334,-4.710000991821289,2.93,22.9,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.6984,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,0,2,0,0,1,0,0
2022-01-05,0.88,5.957820738137087,4.62,19.729999542236328,143.41000366210938,23.469999313354492,-3.739999771118164,2.87,22.9,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.6984,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,0,2,0,0,1,0,0
2022-01-06,0.85,5.957820738137087,4.62,19.610000610351562,140.77000427246094,23.5,-3.8899993896484375,2.77,22.9,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.6984,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,0,2,0,0,1,0,0
2022-01-07,0.89,5.957820738137087,4.62,18.760000228881836,139.13999938964844,22.8700008392334,-4.1100006103515625,2.78,22.9,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.6984,0,-0.2,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,0,1,0,0,1,0,0
2022-01-10,0.86,5.957820738137087,4.62,19.399999618530273,139.24000549316406,22.68000030517578,-3.280000686645508,2.77,25.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.6984,0,-0.2,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,0,1,0,0,1,0,0
2022-01-11,0.85,5.957820738137087,4.62,18.40999984741211,138.08999633789062,21.979999542236328,-3.5699996948242188,2.87,25.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.6984,0,-0.2,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,0,1,0,0,1,0,0
2022-01-12,0.82,5.957820738137087,4.62,17.6200008392334,135.72999572753906,21.579999923706055,-3.9599990844726562,2.82,25.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.6984,0,-0.2,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,0,1,0,0,1,0,0
2022-01-13,0.79,5.957820738137087,4.62,20.309999465942383,133.1300048828125,23.40999984741211,-3.1000003814697266,2.77,25.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.6984,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-01-14,0.79,5.957820738137087,4.62,19.190000534057617,133.85000610351562,22.81999969482422,-3.6299991607666016,2.79,25.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.659,0,-0.2,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,0,1,0,0,1,0,0
