,RISK_SCORE,SIGNAL,ACTION,REGIME,BL_MULTIPLIER
2022-01-31,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.6992
2022-02-28,4.36,🟡 흐림,위험자산 10~20% 축소,과열,0.6512
2022-03-31,3.78,🟡 흐림,위험자산 10~20% 축소,과열,0.6976
2022-04-30,4.67,🟡 흐림,위험자산 10~20% 축소,과열,0.6264000000000001
2022-05-31,2.92,🟢 맑음,기본 비중 유지,과열,0.7664
2022-06-30,2.92,🟢 맑음,기본 비중 유지,과열,0.7664
2022-07-31,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.7
2022-08-31,3.18,🟡 흐림,위험자산 10~20% 축소,과열,0.7456
2022-09-30,3.01,🟡 흐림,위험자산 10~20% 축소,골디락스,0.7592
2022-10-31,3.18,🟡 흐림,위험자산 10~20% 축소,과열,0.7456
2022-11-30,3.75,🟡 흐림,위험자산 10~20% 축소,과열,0.7
2022-12-31,3.75,🟡 흐림,위험자산 10~20% 축소,과열,0.7
2023-01-31,2.1,🟢 맑음,기본 비중 유지,골디락스,0.832
2023-02-28,3.75,🟡 흐림,위험자산 10~20% 축소,과열,0.7
2023-03-31,3.74,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.7008
2023-04-30,2.68,🟢 맑음,기본 비중 유지,골디락스,0.7856
2023-05-31,4.91,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.6072
2023-06-30,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.6528
2023-07-31,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.6528
2023-08-31,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.6528
2023-09-30,1.54,🟢 맑음,기본 비중 유지,골디락스,0.8768
2023-10-31,2.34,🟢 맑음,기본 비중 유지,과열,0.8128
2023-11-30,2.43,🟢 맑음,기본 비중 유지,골디락스,0.8056
2023-12-31,1.54,🟢 맑음,기본 비중 유지,골디락스,0.8768
2024-01-31,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.6992
2024-02-29,3.19,🟡 흐림,위험자산 10~20% 축소,과열,0.7448
2024-03-31,3.19,🟡 흐림,위험자산 10~20% 축소,과열,0.7448
2024-04-30,2.61,🟢 맑음,기본 비중 유지,과열,0.7912
2024-05-31,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.6992
2024-06-30,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.6992
2024-07-31,3.49,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.7208
2024-08-31,4.08,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.6736
2024-09-30,3.51,🟡 흐림,위험자산 10~20% 축소,둔화_주의,0.7192000000000001
2024-10-31,3.79,🟡 흐림,위험자산 10~20% 축소,과열,0.6968
2024-11-30,2.62,🟢 맑음,기본 비중 유지,과열,0.7904
2024-12-31,2.62,🟢 맑음,기본 비중 유지,과열,0.7904
