,RISK_SCORE,SIGNAL,ACTION,REGIME,LEADING_SCORE,COINCIDENT_SCORE,LAGGING_SCORE,GLIDE_ACCELERATE
2022-01-03,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2022-01-04,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2022-01-05,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2022-01-06,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2022-01-07,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2022-01-10,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2022-01-11,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2022-01-12,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2022-01-13,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2022-01-14,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2022-01-17,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2022-01-18,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2022-01-19,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2022-01-20,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2022-01-21,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2022-01-24,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2022-01-25,4.35,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.75,0.31,False
